School Name,Misconduct Num,School Police Num,Number of Offenders,Truancy Rate,Female Offenders,Male Offenders,Charter or Public,Address,Address_Upper,City,City_Upper,State,Zip
City CHS,47,0,55,17.54,31,24,Charter,201 Stanwix St,201 STANWIX ST, Pittsburgh, PITTSBURGH,PA,15222
Environmental Charter School at Frick Pa,18,0,16,0,3,13,Charter,829 Milton St,829 MILTON ST, Pittsburgh, PITTSBURGH,PA,15218
Hillhouse Passport,2,0,3,84,2,1,Charter,933 Penn Ave,933 PENN AVE, Pittsburgh, PITTSBURGH,PA,15222
Manchester Academic CS,30,0,23,27.78,11,12,Charter,1214 Liverpool St,1214 LIVERPOOL ST, Pittsburgh, PITTSBURGH,PA,15233
Penn Hills CS of Entrepreneurship,57,0,36,48.72,12,24,Charter,2501 Main St,2501 MAIN ST, Pittsburgh, PITTSBURGH,PA,15235
Propel CS-Hazelwood,10,0,9,39.56,5,4,Charter,5401 Glenwood Ave,5401 GLENWOOD AVE, Pittsburgh, PITTSBURGH,PA,15207
Propel CS-Braddock Hills,60,0,50,62.17,17,33,Charter,1500 Yost Blvd,1500 YOST BLVD, Pittsburgh, PITTSBURGH,PA,15221
Propel CS Homestead,23,0,22,50.71,8,14,Charter,129 E 10th Ave,129 E 10TH AVE, Homestead, HOMESTEAD,PA,15120
Propel CS-East,2,0,2,12.6,2,0,Charter,1611 Monroeville Ave,1611 MONROEVILLE AVE,Turtle Creek,TURTLE CREEK,PA,15145
Propel CS_McKeesport,6,0,6,24.37,4,2,Charter,2412 Versailles Ave,2412 VERSAILLES AVE, McKeesport, MCKEESPORT,PA,15132
Propel CS-Montour,5,0,5,15.59,3,2,Charter,340 Bilmar Dr,340 BILMAR DR, Pittsburgh, PITTSBURGH,PA,15205
Propel CS-Northside,20,0,18,36.78,8,10,Charter,1805 Buena Vista St,1805 BUENA VISTA ST, Pittsburgh, PITTSBURGH,PA,15212
Propel CS-Pitcairn,2,0,2,40.24,0,2,Charter,435 Agatha St,435 AGATHA ST, Pitcairn, PITCAIRN,PA,15140
Provident CS,1,0,1,3.08,0,1,Charter,1400 Troy Hill Rd,1400 TROY HILL RD, Pittsburgh, PITTSBURGH,PA,15212
